Rachis Length,Width/Length Ratio,Pair of Leaves,class_0,class_1,class_2
20.7,0.488,14,1,0,0
26.9,0.340,13,0,1,0
21.3,0.481,14,1,0,0
21.6,0.338,13,0,0,1
29.3,0.315,13,0,1,0
23.1,0.520,15,1,0,0
24.4,0.286,13,0,1,0
19.9,0.370,12,1,0,0
20.8,0.478,14,1,0,0
25.3,0.302,12,0,1,0
22,0.302,8,0,0,1
27.2,0.359,13,0,0,1
22,0.335,8,0,0,1
27.7,0.317,12,0,1,0
23.4,0.468,13,1,0,0
26.8,0.325,12,0,0,1
15,0.323,9,0,0,1
27.1,0.381,13,0,0,1
31.2,0.294,13,0,1,0
27.7,0.356,13,0,0,1
26.1,0.510,14,1,0,0
19.9,0.330,13,0,0,1
20,0.363,13,1,0,0
26,0.331,12,0,0,1
22.7,0.029,8,0,0,1
31.2,0.451,15,0,0,1
26.4,0.429,15,1,0,0
25.5,0.316,9,0,0,1
27.2,0.434,15,1,0,0
25.5,0.289,11,0,1,0
18.4,0.493,12,1,0,0
22.7,0.396,15,1,0,0
30.8,0.292,13,0,1,0
26.2,0.293,13,0,1,0
29.8,0.285,14,0,1,0
29.4,0.344,14,0,1,0
27.2,0.483,15,1,0,0
26,0.344,12,0,0,1
29.5,0.281,12,0,1,0
26.2,0.289,14,0,1,0
22.2,0.337,9,0,0,1
25.4,0.312,13,0,1,0
21.2,0.285,10,0,0,1
22.1,0.317,14,0,0,1
31.5,0.282,13,0,1,0
23.9,0.352,12,0,0,1
32.3,0.293,14,0,1,0
22.5,0.350,10,0,0,1
27.3,0.465,14,1,0,0
27.6,0.502,14,1,0,0
29,0.461,14,1,0,0
26.4,0.288,10,0,0,1
24.9,0.307,13,0,1,0
23,0.438,13,1,0,0
23.3,0.403,13,1,0,0
23.7,0.405,15,1,0,0
22.6,0.310,10,0,0,1
26,0.322,10,0,0,1
26.4,0.493,15,1,0,0
25.4,0.450,13,1,0,0
25,0.322,13,0,0,1
27.6,0.303,11,0,0,1
21.2,0.470,14,1,0,0
28.6,0.288,14,0,1,0
25.6,0.473,15,1,0,0
28.2,0.486,14,1,0,0
22,0.475,14,1,0,0
25.8,0.304,13,0,1,0
23,0.363,13,0,0,1
21.7,0.316,11,0,0,1
27.3,0.407,14,0,0,1
20.8,0.492,13,1,0,0
32.3,0.319,13,0,1,0
31.0,0.292,13,0,1,0
22.0,0.460,14,1,0,0
26.8,0.300,13,0,1,0
27.6,0.443,12,1,0,0
28.9,0.274,14,0,1,0
29.4,0.316,14,0,1,0
22.6,0.395,12,1,0,0
31.2,0.311,13,0,1,0
26.7,0.385,13,0,0,1
21.9,0.467,12,1,0,0
26.0,0.270,13,0,1,0
29.0,0.277,13,0,1,0
21,0.295,9,0,0,1
24.4,0.327,10,0,1,0
20.3,0.349,7,0,0,1
24.3,0.291,11,0,0,1
22.6,0.450,14,1,0,0
23.4,0.354,13,0,0,1
29.8,0.336,14,0,1,0
25.8,0.038,13,0,0,1
27.8,0.470,14,1,0,0
24.5,0.340,10,0,1,0
23.7,0.288,14,0,1,0
21.5,0.459,13,1,0,0
29.7,0.302,12,0,1,0
21.9,0.460,14,1,0,0
19.2,0.386,13,1,0,0
23.4,0.377,11,0,0,1
26.6,0.316,12,0,1,0
26.2,0.294,14,0,1,0
28.4,0.320,14,0,1,0
21.9,0.289,10,0,0,1
